logo_acc,pct_id,joining_fees,annual_fees
101,001,199,199
101,101,NIL,NIL
101,102,NIL,199
102,003,499,499
102,103,NIL,NIL
102,104,NIL,499
103,029,299,299
103,110,NIL,299
103,109,NIL,NIL
301,007,2999,2999
301,105,NIL,NIL
301,106,NIL,2999
302,009,1499,1499
302,112,NIL,1499
302,113,NIL,749
302,114,NIL,2999
302,010,749,749
302,030,2999,2999
302,111,NIL,NIL
303,115,NIL,NIL
401,107,NIL,NIL
401,011,7999,7999
401,108,NIL,7999
501,031,99,99
501,116,NIL,NIL
601,015,NIL,NIL
602,016,NIL,NIL
603,017,NIL,NIL
701,018,NIL,NIL
702,019,NIL,NIL
703,020,NIL,NIL
801,022,NIL,NIL
802,023,NIL,NIL
803,024,NIL,NIL
803,025,999,999
803,026,499,499
803,027,NIL,999
803,118,NIL,99 + GST
803,028,NIL,499
911,115,NIL,NIL
911,117,NIL,99 + GST
602,038,3%,3%
603,039,3%,3%
801,040,3%,3%
