Pincode,Sort Code,Courier Mode
110001,DEL/ANT,BLUEDART
110002,DEL/IPC,BLUEDART
110003,DEL/ABC,BLUEDART
110004,DEL/ABC,BLUEDART
110005,DEL/RAJ,BLUEDART
110006,DEL/CP,BLUEDART
110007,DEL/CP,BLUEDART
110008,DEL/RAJ,BLUEDART
110009,DEL/MKJ,BLUEDART
110010,DEL/DCT,BLUEDART
110011,DEL/ABC,BLUEDART
110012,DEL/RAJ,BLUEDART
110013,DEL/OKH,BLUEDART
110014,DEL/OKH,BLUEDART
110015,DEL/RMR,BLUEDART
110016,DEL/SJE,BLUEDART
110017,DEL/SET,BLUEDART
110018,DEL/PSV,BLUEDART
110019,DEL/NP,BLUEDART
110020,DEL/OKH,BLUEDART
110021,DEL/DCT,BLUEDART
110022,DEL/DCT,BLUEDART
110023,DEL/SJE,BLUEDART
110024,DEL/NP,BLUEDART
110025,DEL/MOC,BLUEDART
110026,DEL/RMR,BLUEDART
110027,DEL/RMR,BLUEDART
110028,DEL/RAJ,BLUEDART
110029,DEL/SJE,BLUEDART
110030,DEL/VVH,BLUEDART
110031,DEL/KRR,BLUEDART
110032,DEL/JIA,BLUEDART
110033,DEL/WZR,BLUEDART
110034,DEL/PIT,BLUEDART
110035,DEL/RMR,BLUEDART
110036,DEL/AED,BLUEDART
110037,DEL/KSP,BLUEDART
110038,DEL/KSP,BLUEDART
110039,DEL/AED,BLUEDART
110040,DEL/AED,BLUEDART
110041,DEL/HKN,BLUEDART
110042,DEL/ROI,BLUEDART
110043,DEL/DWK,BLUEDART
110044,DEL/MOC,BLUEDART
110045,DEL/DLM,BLUEDART
110046,DEL/JNK,BLUEDART
110047,DEL/VVH,BLUEDART
110048,DEL/NP,BLUEDART
110049,DEL/SJE,BLUEDART
110050,DEL/PSV,BLUEDART
110051,DEL/KRR,BLUEDART
110052,DEL/WZR,BLUEDART
110053,DEL/JIA,BLUEDART
110054,DEL/CP,BLUEDART
110055,DEL/CP,BLUEDART
110056,DEL/PSV,BLUEDART
110057,DEL/DCT,BLUEDART
110058,DEL/JNK,BLUEDART
110059,DEL/JNK,BLUEDART
110060,DEL/RAJ,BLUEDART
110061,DEL/KSP,BLUEDART
110062,DEL/SET,BLUEDART
110063,DEL/PSV,BLUEDART
110064,DEL/RMR,BLUEDART
110065,DEL/OKH,BLUEDART
110066,DEL/SJE,BLUEDART
110067,DEL/SET,BLUEDART
110068,DEL/SET,BLUEDART
110069,DEL/ABC,BLUEDART
110070,DEL/VVH,BLUEDART
110071,DEL/NFG,BLUEDART
110072,DEL/NFG,BLUEDART
110073,DEL/NFG,BLUEDART
110074,DEL/VVH,BLUEDART
110075,DEL/DWK,BLUEDART
110076,DEL/MOC,BLUEDART
110077,DEL/DWK,BLUEDART
110078,DEL/DWK,BLUEDART
110080,DEL/SET,BLUEDART
110081,DEL/HKN,BLUEDART
110082,DEL/AED,BLUEDART
110083,DEL/PIT,BLUEDART
110084,DEL/MKJ,BLUEDART
110085,DEL/ROI,BLUEDART
110086,DEL/HKN,BLUEDART
110087,DEL/PSV,BLUEDART
110088,DEL/WZR,BLUEDART
110089,DEL/ROI,BLUEDART
110090,DEL/JIA,BLUEDART
110091,DEL/MVH,BLUEDART
110092,DEL/EDL,BLUEDART
110093,DEL/JIA,BLUEDART
110094,DEL/JIA,BLUEDART
110095,DEL/JIA,BLUEDART
110096,DEL/MVH,BLUEDART
110097,DEL/KSP,BLUEDART
110098,DEL/MVH,BLUEDART
110100,DEL/ANT,BLUEDART
110101,DEL/ABC,BLUEDART
110103,DEL/IPC,BLUEDART
110104,DEL/IPC,BLUEDART
110105,DEL/ABC,BLUEDART
110106,DEL/ABC,BLUEDART
110107,DEL/ABC,BLUEDART
110108,DEL/ABC,BLUEDART
110109,DEL/IPC,BLUEDART
110110,DEL/IPC,BLUEDART
110112,DEL/IPC,BLUEDART
110113,DEL/IPC,BLUEDART
110114,DEL/ANT,BLUEDART
110115,DEL/ANT,BLUEDART
110116,DEL/ANT,BLUEDART
110117,DEL/ANT,BLUEDART
110118,DEL/ANT,BLUEDART
110119,DEL/ANT,BLUEDART
110120,DEL/ANT,BLUEDART
110122,DEL/ANT,BLUEDART
110124,DEL/IPC,BLUEDART
110125,DEL/RAJ,BLUEDART
110301,DEL/EDL,BLUEDART
110302,DEL/EDL,BLUEDART
110501,DEL/OKH,BLUEDART
110502,DEL/ABC,BLUEDART
110503,DEL/ABC,BLUEDART
110504,DEL/ABC,BLUEDART
110505,DEL/NP,BLUEDART
110510,DEL/ABC,BLUEDART
110511,DEL/ABC,BLUEDART
110512,DEL/ABC,BLUEDART
110601,DEL/SJE,BLUEDART
